letter,x,y,z
%,11.881843646549527,46.30252100840337,10
%,29.44964349376114,29.385026737967912,10
%,24.03706688154714,40.51302712865969,10
%,38.784637822070984,8.144547075028353,10
%,46.16186900292029,18.990404672507303,10
%,34.75893886966551,35.580161476355244,10
%,13.413725490196079,10.650980392156853,10
%,22.287581699346408,49.632573750220814,10
%,11.87990196078432,39.78921568627451,10
%,24.19825708061002,23.24400871459695,10
%,39.93546785802929,41.64308761479275,10
%,39.40023068050749,21.40715109573241,10
%,16.73956762192056,50.178481649069894,10
%,26.735970250169032,47.003042596348884,10
&,28.637908496732027,35.54771241830065,10
&,33.42540494458653,14.528559249786868,10
&,17.94808064070699,28.613642640154655,10
&,21.445783132530124,46.012284431845025,10
&,10.54179566563468,18.67905056759546,10
&,45.88612368024134,34.85671191553544,10
&,20.168350168350166,9.467221231927121,10
&,45.82315945246024,10.197928227894927,10
&,38.20392156862746,24.15686274509804,10
&,27.905187391412262,24.924298833457435,10
&,27.42590059279526,47.779297765617876,10
&,23.41944886062533,31.614997350291468,10
&,20.324283559577673,38.8235294117647,10
&,26.67768230887861,10.229125358008368,10
&,39.44444444444444,11.143790849673204,10
&,13.774509803921577,12.082043343653252,10
&,12.852941176470582,24.857843137254903,10
&,41.10726643598616,31.124567474048444,10
&,30.887512899896805,42.17492260061919,10
&,33.56146304675716,19.013951734539972,10
',29.117647058823533,39.01960784313726,10
',29.117647058823533,47.745098039215684,10
',29.117647058823533,52.84313725490196,10
',29.117647058823533,44.11764705882353,10
',29.117647058823533,51.07843137254902,10
',29.117647058823533,42.450980392156865,10
',29.128540305010898,45.925925925925924,10
',29.117647058823533,40.68627450980392,10
',29.117647058823533,50.294117647058826,10
',29.117647058823533,37.94117647058824,10
',29.117647058823533,51.9607843137255,10
',29.117647058823533,49.6078431372549,10
',29.117647058823533,41.568627450980394,10
',29.117647058823533,48.431372549019606,10
',29.106753812636168,45.054466230936825,10
',29.117647058823533,43.23529411764706,10
',29.117647058823533,39.90196078431373,10
',29.117647058823533,49.01960784313725,10
',29.117647058823533,53.627450980392155,10
',29.117647058823533,46.86274509803921,10
(,24.672405547584887,42.27164036346245,10
(,24.398692810457515,9.803921568627448,10
(,33.03624480095068,57.28461081402258,10
(,22.058823529411764,28.333333333333332,10
(,28.484162895927604,1.17647058823529,10
(,27.727501256913023,48.58722976370035,10
(,23.06100217864924,35.0,10
(,23.26546003016591,15.294117647058824,10
(,26.176470588235297,45.49019607843138,10
(,25.660974067046173,6.8121442125237195,10
(,22.27124183006536,20.294117647058826,10
(,23.80679100908656,38.670492587278815,10
(,22.370242214532873,31.56862745098039,10
(,27.13319810682894,3.8742393509127773,10
(,29.264705882352942,51.552287581699346,10
(,22.058823529411764,25.392156862745097,10
(,22.767722473604827,17.84313725490196,10
(,31.14763552479815,54.46943483275663,10
(,22.05882352941176,22.745098039215684,10
(,23.809523809523807,12.647058823529417,10
),34.11764705882353,40.882352941176464,10
),34.372549019607845,11.718954248366018,10
),36.17647058823529,27.352941176470587,10
),28.52941176470588,52.481617647058826,10
),36.13784907902555,21.32501485442662,10
),32.95665634674922,43.880288957688336,10
),30.098039215686274,1.6666666666666679,10
),25.176470588235293,57.50980392156862,10
),35.7703081232493,32.647058823529406,10
),34.975490196078425,14.803921568627448,10
),33.43434343434343,8.401663695781338,10
),31.470588235294116,46.86274509803921,10
),35.2262443438914,35.29411764705882,10
),31.81660899653979,5.098039215686278,10
),35.63437139561707,18.03921568627451,10
),30.02178649237473,49.765795206971674,10
),26.835699797160245,55.043948613928336,10
),36.16138763197586,30.0,10
),36.179633143580006,24.45920303605313,10
),34.705882352941174,37.94117647058823,10
*,29.120038259206126,20.736489717838356,10
*,29.117647058823533,30.19607843137255,10
*,32.59694989106754,23.625272331154683,10
*,23.407325194228637,22.204957454679985,10
*,18.766769865841074,31.95046439628483,10
*,39.30718954248366,31.77777777777778,10
